"","AEM1","AEM2","AEM3","AEM4","AEM5","AEM6","AEM7","AEM8","AEM9","AEM10","AEM11","AEM12","AEM13","AEM14","AEM15","AEM16","AEM17","AEM18","AEM19","AEM20","AEM21","AEM22","AEM23","AEM24","AEM25","AEM26","AEM27","AEM28","AEM29"
"Brd",-0.111645968182695,-0.17728626530465,0.183214343066248,-0.0898095467633241,0.0502297778444159,-0.0872386562872574,0.0304797277337608,-0.350861687121886,0.0352316794173132,-0.121359425311343,-0.194931909196968,0.153437682287451,-0.337281648505652,-0.0116848176367722,-0.318334378672383,0.0554424554620368,0.105592182155332,-0.179831040473549,-0.55561071041971,0.117187683213495,0.0421479263754749,0.148469478594295,0.174128985946771,-0.0764369188812013,-0.0382311130010585,-0.11974360402163,-0.102458822776792,-0.00425560983718911,-0.00234847270369529
"Cro",-0.145043386133905,-0.0979280347465463,0.149487651491895,0.00246812448615903,-0.0151206035973239,-0.0315219457544906,0.0359406132847519,-0.0820312701104729,0.0195115988918663,0.00352545054692721,-0.0756810800812093,0.124604921461364,-0.0172471639771005,-0.00698274254787941,0.0743014384348211,-0.153171137195567,-0.057506237988329,0.0426317375867105,0.153881272644634,0.173564006857007,0.163867779795261,0.244554838393595,0.244474174503304,0.205618775503608,0.123410857288581,0.481977648299384,0.599115126037896,0.0208883831290294,-0.000703794405979999
"Eye",-0.152808436118796,-0.0249750735141628,0.121450923587522,-0.0142903324357803,-0.0413535529947441,-0.000102232229552636,-0.00322927714524837,0.0487998965918884,-0.0398863675734783,0.0732993314367949,0.120818502838908,0.0368572229477054,0.107690584111957,-0.17629675228802,0.118079378559289,0.120551481783685,-0.0586088193306508,-0.201419031590228,0.109900578945439,0.124892227906376,-0.175222177027846,0.0178389223372375,0.123137287827693,-0.554063418322302,-0.513347136214326,0.343542601424221,-0.141651524218419,0.0640018394059287,0.00892374198129798
"Heb",-0.0413622648175401,0.0776476466241806,-0.203099347428276,0.0124414075451274,-0.0290272367541511,-0.0346834742239086,0.121391545500576,-0.0647364260253692,0.178295528595604,0.377037843374873,0.290583601165093,0.252052669137918,-0.177004124352876,0.133498096167521,-0.00507455877486075,-0.22100155957769,-0.171823620588705,0.514803043842757,-0.201636695978738,-0.200569236926627,-0.188290881976603,0.111119006313097,-0.019182110627399,-0.177985416331791,-0.0815941840776499,-0.057471566613382,0.094528281802543,-0.0586981082806539,0.0083371256400766
"Iom",0.00710173559761584,0.0492420112762392,-0.306731315407886,0.0517940770613091,-0.14078164824826,0.111193874184571,0.138048776752504,0.251236111584293,0.143790340589927,-0.0875723005850754,-0.0380838259401677,0.430683785979049,-0.101681884546472,-0.280847176665977,-0.185717255594974,-0.216870433413858,0.397093728468539,-0.315058907044514,0.169280980820594,-0.274177284000023,-0.042538341295921,-0.0169486176827081,0.0194458549952733,0.0462238466323319,0.0364541090397401,0.0221632005727586,-0.0115528676172047,0.0273312954333736,0.00556739031753119
"Ios",-0.150217536384008,-0.0415201351236764,0.11320440803003,-0.00454903688005535,-0.0346341795727443,-0.0181130612673409,-0.027067207910871,0.0952288861078489,0.0142044057010905,0.0119324050582585,0.0564861709752222,0.0327299135468837,0.0524877288392384,-0.00383705893363406,0.197931543145294,0.0526024022659597,0.0124930526969906,-0.0648460155189046,-0.00135674962033901,0.00848861862905642,-0.00394340730356775,0.0629873640717084,-0.00249510209509296,0.0751834492109048,0.0156985855955312,-0.240804005836505,0.0273744067936346,-0.108559859920858,0.886072222740158
"Loo",-0.145700514928029,-0.0373946489927464,0.105753351724467,0.0188254943504012,-0.0103317376891828,-0.0104395624572573,-0.0132604363069445,0.108407415399608,0.0341072325916204,-0.0179810438709839,0.0554057016684757,-0.0530551507671892,0.0689625164100289,0.0058649980085754,0.127767236365481,-0.0171335479714829,-0.0883073399952694,-0.0812265709717873,-0.0294898854248232,-0.0824128647286458,-0.0471358753635334,0.0189860701939721,0.0487550670041648,-0.126203262714998,0.186542040520126,-0.348174650729246,0.162673635629352,0.807817268228639,-0.121055716469595
"Lyn",-0.0636802440572404,0.042955064451059,-0.1154156389551,0.00630359169678933,-0.0101002090741129,0.0759947576429517,0.206459909713308,0.0576247310480451,0.067423251011107,0.173979376943607,0.151600570550108,0.0320260065888786,0.0112887545198937,-0.0683650549388856,0.0110003380474163,0.0671325748606978,-0.000952088208359768,-0.0243112881582548,-0.133013980245364,0.293509182956603,0.683895163778242,-0.342602368214249,-0.22538352251503,-0.225586694341069,0.186240114756903,0.045054013852588,-0.0106133211084321,-0.0190169902115858,-0.00275147273981352
"Ork",0.295692639977336,0.045621343259904,0.0423070694156354,-0.354340541263259,-0.162478831810384,-0.513410009836064,0.0138341271167424,-0.212287400528379,0.292708955284857,-0.206564903949336,0.275723138791963,-0.299549243643692,-0.0823914315436096,-0.195006366644738,0.102959930147104,-0.0847492097625161,0.178458977165462,0.0372641701865159,0.123187097543788,-0.0706071980928598,0.0512759004985018,-0.0505417635045601,0.00281625625907397,-0.00890659715891802,-0.00578500652148,0.00488777260571822,0.0140061238890297,-0.00331148241442907,-0.00107281993972279
"Pad",-0.139357004432477,-0.0372546806923722,0.0308594934603915,0.0297163705993307,-0.014292940469776,-0.0458059274033829,-0.150949566607014,0.19792070042673,0.0333921277118069,-0.0497170898723741,-0.0913874717531582,-0.0571102271140711,-0.0380270404076026,0.229266352360016,0.400844552227299,0.318602980179433,0.220477639402006,0.0137111138231269,-0.229293127230211,-0.519205038088186,0.259583574963911,0.179020337450932,-0.0844984652102971,0.031877686761708,-0.0829814138411786,0.140163492549333,-0.0181756443021134,-0.114372610093349,-0.175969252938683
