,SST_mean,SST_range,SAL_mean,SAL_range,VEL_mean,PP_mean,PP_range,bathy
Brd,10.503996,11.939635,34.73658,0.519825,0.074831910431385,0.012873,0.037713,-6
Cro,10.973688,13.878485,34.504818,0.489334,0.117569960653782,0.005594,0.019167,-6
Eye,9.397397,9.0281,34.846806,0.503918,0.0574954189360142,0.007049,0.022009,-36
Heb,10.616837,8.043867,35.163078,0.326275,0.0869614407420158,0.01238,0.042694,-17
Iom,10.993606,9.717777,34.310047,0.41304,0.0353973507881165,0.007844,0.021476,-24
Ios,12.302018,7.456988,35.23661,0.376301,0.0364462435245514,0.002757,0.01087,-14
Loo,12.770913,9.887592,35.219257,0.35268,0.145412638783455,0.006541,0.020242,-4
Lyn,11.496348,9.155214,34.393101,0.43671,0.143855527043343,0.006324,0.016652,-13
Ork,9.908846,8.470483,35.101295,0.238861,0.0612685494124889,0.013144,0.050768,-23
Pad,12.546688,9.541237,35.166821,0.35387,0.113248080015182,0.003158,0.016255,-1
Pem,11.090065,7.423034,34.872429,0.389969,0.0685564950108528,0.005622,0.015514,-41
She,9.517937,6.633904,35.240368,0.262184,0.0355937443673611,0.003635,0.012162,-48
Sbs,12.469909,11.882097,34.792168,0.69511,0.158004507422447,0.005968,0.012873,-4
Sul,10.00143,5.150793,35.241337,0.277069,0.110833913087845,0.001394,0.007391,-51
Jer,12.792864,10.003813,35.098183,0.602734,0.0568686537444592,0.003102,0.009901,-9
Idr,15.040368,13.558254,35.090153,1.325962,0.0628753006458282,0.010698,0.028475,-11
Hel,10.965543,17.728274,33.599701,0.884735,0.119061276316643,0.009542,0.025598,-4
Ale,18.026139,16.256534,37.271633,1.955643,0.0513848885893822,0.005108,0.01201,-1
Sky,14.953497,1.329592,38.921841,0.274998,0.0220174677670002,0,0,-101
The,15.714762,8.493089,38.464931,0.545303,0.0151877840980887,0.002136,0.008913,-26
Tor,15.093946,3.158997,38.863338,0.420521,0.00610672356560826,0.000706,0.001716,-143
Cor,12.37682,9.324888,35.098587,0.384941,0.161508426070213,0.013469,0.033229,-14
Hoo,11.695936,7.867948,34.939594,0.454353,0.0994537174701691,0.005363,0.016629,-11
Kil,11.935134,8.751024,35.295544,0.327385,0.0691134482622147,0.013793,0.035367,-11
Mul,11.732957,7.365284,35.378494,0.312286,0.165497079491615,0.010777,0.026601,-25
Ven,11.583314,7.139628,35.385521,0.264114,0.0880583450198174,0.004123,0.011244,-7
Laz,17.643573,9.923728,38.142021,0.712933,0.077574834227562,0.00036,0.001609,-6
Tar,17.043661,8.874271,38.149136,0.591656,0.0506585091352463,0.000207,0.001478,-9
Sar,17.998584,12.037702,38.168789,0.643322,0.112371571362019,0.000377,0.00163,-62
Oos,12.148637,16.062405,34.182518,0.715191,0.0691677182912827,0.041724,0.096173,-36
Ber,8.791414,11.051213,34.529907,0.701168,0.176862731575966,0.002771,0.008514,-22
Flo,8.836375,12.665352,34.629696,0.657391,0.234309151768684,0.00212,0.007341,-9
Sin,7.991702,8.839215,34.798828,0.477936,0.105056971311569,0.000154,0.00075,-20
Tro,7.100988,3.0526,35.193195,0.151505,0.0133065469563007,0,1e-06,-244
Vig,12.516503,4.060262,35.785706,0.303848,0.113988980650902,0.001553,0.005398,-20
Gul,9.195099,13.322247,33.935665,1.02486,0.297612369060516,0.00257,0.008953,-41
Kav,9.843653,17.19967,32.025204,2.120766,0.297502011060715,0.00503,0.014162,-19
Lys,9.843653,17.19967,32.025204,2.120766,0.297502011060715,0.00503,0.014162,-33
