"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29"
"Ber",6.49676404456316e-05,-0.000409134310550767,2.50091160822201e-06,0.000216135700476848,1.49559554759001e-05,0.000200286939177274,-7.00409802844593e-05,0.000106763922520566,-5.33016301804971e-05,-3.87188756118638e-05,0.000316131919448514,0.000139857494220493,-3.49470636250476e-06,1.49495387868677e-06,5.3833854657271e-05,-0.000129928186063559,2.69400467877288e-05,2.98104511045816e-05,7.00306896676549e-05,-0.000132037739898988,4.73440759483578e-05,-1.96792760359474e-05,-4.55913558737997e-05,4.16510880218682e-05,0.000150867059224934,0.000265309680746714,0.000171843003172184,9.25491605012812e-05,5.56220378345621e-05
"Brd",-0.000343134010913879,-0.000199963763359386,0.000259258170352522,-0.000141360921993354,2.22850574648244e-05,7.27187477343677e-05,-0.0001088446536765,-0.000116585693482619,-0.000211057988890398,0.000190587388919664,5.41605165883544e-05,3.85647849822225e-05,-3.04182272220516e-05,0.000220928011549993,-0.000163098103862814,-8.02566185197182e-05,9.48648697192288e-05,-2.69527674181816e-05,1.02078328609532e-05,8.023942376743e-05,6.92314967051966e-05,4.55111462787811e-06,0.000346490213676902,7.47463150022942e-05,8.41188589415373e-05,-7.91624521058878e-05,-1.01122993912334e-05,-1.95746653255137e-05,-8.82731729533959e-05
"Cor",4.92156462023427e-05,0.00020036318427467,-0.000129165250210096,-8.5297868176641e-05,-7.98040386690222e-05,8.93375592338764e-05,4.84484361347544e-05,9.13914995729836e-06,2.36098570483935e-05,-7.51693415415994e-05,0.000110413565896515,-0.000240118757333435,-0.000285530061813506,0.000178294794641179,-0.000229585319715819,2.2873790823625e-05,0.000253008472674981,0.000215688139301893,-8.5480225855305e-06,-1.89152043287899e-05,9.35389079206964e-06,6.20071463498198e-05,-0.000123323483942576,-0.000122529685756245,1.71663516903371e-05,4.53027789525039e-05,2.3678010994492e-05,-8.04072230188522e-05,7.70809614661792e-06
"Cro",0.000171877382968573,-1.49882217681473e-05,-3.70665065631868e-05,6.32741645825209e-05,0.000246144491383257,-0.000193221303249813,0.00015891532304197,0.000170389528817197,-0.000124910535357419,-3.51947094562507e-05,-5.29292537840118e-05,2.74371036279079e-05,0.000202630847806785,1.14179019026902e-05,-4.55474228357024e-05,-5.41238066819793e-05,0.000126916818375408,0.000230377394105994,0.000186129709392266,0.000251397847210416,-0.000116275327097706,9.63380448930508e-05,2.31193860314094e-05,7.06305188875111e-05,2.41135106353137e-05,-0.000101717560091012,8.15009818765525e-05,0.00013251215770759,5.7060150961129e-05
"Eye",-0.00037812961515565,-0.000260682109965172,-0.000840434312296669,-3.12997450966547e-05,-1.61402967675467e-05,-7.47564822492368e-05,-0.000109948519975006,-3.15516645510538e-05,-2.07628714528013e-05,-1.29494007808364e-05,-4.29569584721752e-05,-1.72141288034943e-05,1.67128334861396e-05,2.17426461224649e-05,2.01290082956722e-06,4.24452659057961e-08,5.92688438179517e-06,4.24051421601749e-05,-6.40647543188277e-05,-2.25842315180813e-05,2.98610743561277e-06,7.59638333354052e-05,7.11574375776128e-05,9.41414263670135e-05,-9.10620697886515e-05,4.76607592860998e-06,-1.52513575870876e-05,-2.14868636837122e-05,-2.48487773065142e-05
"Flo",3.40548761593931e-05,-0.000501325203679668,0.0001066549916084,-0.000197320110659156,0.000103445573935916,-4.08246800477605e-05,-5.17802274409207e-05,-7.04170044496573e-05,0.000322083495668225,4.96624469398634e-05,-1.76855628161481e-05,0.000120784607255031,5.38748134512623e-05,5.34609458551532e-05,1.13768572941101e-05,-3.99567977499139e-06,0.00010506962475496,4.04714961738899e-05,-0.000111570942450383,2.58438780787801e-05,0.000102502472225025,7.74895665431804e-05,-0.000202046038941175,-0.000128550153721427,0.000199426005315184,-0.000146624330228546,-0.000157350819001596,7.50842975187176e-05,4.22001307279324e-05
"Gul",-0.000271076680391505,-0.000389160472032502,0.000109918991790981,0.000118080992414816,7.98833252003568e-05,2.28875513498501e-05,0.000339800312797877,-0.000135876781025431,1.9602168778116e-05,-0.000130534686024999,-0.000142274380850769,-0.000147030512375268,-5.57761455257145e-05,8.17675414136041e-06,-5.61663718415265e-05,0.00011901303082338,1.78776514991066e-05,-0.000129777833104434,-3.42603754142618e-05,-0.000138417453259057,-9.64548181783399e-05,-5.69145396166622e-06,9.25092236230765e-05,-0.00018178012881545,-0.000103839725608046,2.40745988538979e-05,0.000121912940018221,0.000205134791986941,-3.96689544536887e-05
"Heb",0.00020865427551232,0.000218576840921304,-8.15062605966492e-06,2.87609848686969e-05,-0.000105380287039098,1.1721596778715e-05,0.000132888803440171,4.45742080365132e-05,-5.41609264245616e-05,-4.48796177190906e-05,2.32949597891735e-05,5.80162621664294e-05,0.00020233702811509,1.26053462887867e-05,-0.00013391986819046,-0.000151403173160149,-0.000110731781933802,-3.93135850266748e-05,-0.000434068066513488,-0.000139603315270228,3.33785222309129e-06,0.000240417087169073,5.97638342737656e-05,5.10098535304844e-05,4.69814803509067e-05,-1.79628027235887e-05,-2.24633487400801e-05,4.20481229881654e-05,1.89898137863708e-05
"Hel",0.000143532403841459,-0.000193429223691454,8.0562157447337e-05,-4.99700450845124e-05,-4.03127770372923e-05,0.00030671112718776,-9.95577685445833e-05,-0.000125329273716922,-6.43277204938822e-05,-8.19820768387017e-05,-0.000301193948020788,-9.76945320650529e-05,-1.61355365688034e-05,-5.29923287323634e-06,6.06084196833905e-05,1.39818978223854e-05,-0.000123139362173083,0.000149956983153328,-0.000160170149088473,0.00020917335516064,-0.000195648299768704,-0.000129567384931514,-8.49581612227223e-05,0.000164063257296032,0.000102902534321195,0.000105923282938369,2.37670997280291e-05,-1.32068751471978e-05,2.89383804614478e-05
"Hoo",4.46020856237237e-05,0.000107337555757425,-3.48951711569656e-05,-3.61243971980328e-06,-8.86078123624635e-05,-1.23696608527849e-05,-2.52281240666247e-05,-4.86552682418827e-05,0.000104049074609704,4.90296367826291e-05,3.64226269138553e-05,-0.000158278022066625,0.000229206907922011,0.000427080157927289,0.000346968706195116,8.03542817737329e-05,-0.000102317819977724,1.94481619547211e-05,9.64622690104521e-05,-7.83971461779412e-05,2.59903190462245e-05,-2.72121394794883e-05,1.56391693609296e-05,-2.78997849058544e-05,-1.26527892244553e-05,-1.34111628283957e-06,4.15581976210473e-05,4.15732192044207e-05,-2.02101258506167e-05
