"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29","PCo30","PCo31","PCo32","PCo33","PCo34","PCo35","PCo36"
"Ale",0.0120743470432807,-0.00592055262084034,-0.00127569298644007,0.000805561874723241,-0.00224152422599991,0.00327780262213723,0.00185839044711092,-0.00128803813741948,-0.000867432635786885,0.00021547852008299,-1.51741782758646e-05,0.000163182043142106,-8.73037512006182e-05,7.85626073474499e-06,2.42111664233212e-05,-6.23563891541112e-05,-2.42354339876103e-05,4.10948706309358e-05,-7.10682547031461e-05,-2.15754789210201e-05,1.16327619624081e-05,4.73306501686837e-05,3.79982662106952e-06,8.52642018951494e-06,-4.73277243431348e-05,1.5385303459585e-05,-6.5016152255181e-05,0.000113960671520745,7.98610640031307e-05,-0.00015021704719329,0.00010535618871156,-0.0018052131405603,0.0041937667583583,-0.000311450970656238,0.000265138868843616,0.00070237731383159
"Ber",-0.00429228213177216,-0.00247946973848143,0.000260431290948953,0.000229999879338793,-0.000841476031132688,0.000347128715897618,0.00130539357334312,-0.000248174928322896,0.00130962395462924,-0.00100938171764271,0.00204001469038071,-0.000556097002779436,0.000240100422550866,0.000923415219078261,0.00182288483090784,0.0029034715742102,0.000941624955456907,0.000963202256478372,0.000864660885615029,0.00123354556073523,-0.00203346268948808,0.000521509884031755,0.000444894482747601,0.00137109453500853,0.00117217873110182,0.00238420422020034,0.00244446279929893,-9.83315685557643e-05,-0.00121796999917279,-0.00134030253681356,0.000192208485976075,0.00104330405126817,-0.000166343062619683,0.000299013092395521,-0.00117792620731858,-0.00103991147357277
"Brd",-0.00331587791836101,-0.000346360003407158,0.00134926713782468,0.000371522091168034,-0.00170108560104349,-0.00124124337388929,-0.00107846890518961,0.00189968985420757,-0.00134555399673657,-0.000322534375437765,0.00157936961222541,0.00231918370233216,-0.00106892990836771,-0.000276706523888017,0.000750660297089482,0.000553160204539509,0.00109720095831497,-0.000160051201622552,-0.00109245426361832,2.73674718144695e-05,0.00133290407672854,0.00186182991822683,-0.0029701910229969,0.000853996520310339,-0.000925280409841294,0.000626739725506338,-0.00159391839118061,0.00166772918294582,0.000635912556216844,-0.00264342982764693,0.000124747265598916,-0.00153573233597541,-0.000103921889992902,0.000465295673610708,0.000480983411735288,-0.000248995106213747
"Cor",0.000605792501217866,0.000851730377030276,-0.000788543732056737,-0.00186020061382601,0.000514106187172709,-0.000659076602468634,0.000689880027521651,-0.000222188423415372,0.00178255967990743,0.00210259354290768,0.00138810435329116,0.00172729809652736,0.00132210675544483,0.00309355648816244,0.00133445658866979,-0.000983109442739903,0.00110573551770634,-0.00259989998872138,-0.000782216992747905,0.00063054932028333,0.000888685513963234,-0.000471584189332794,-0.000801145836152996,-0.00224851904681694,0.000891344460002671,0.00021717719658156,0.000108838304482004,0.000667928456871402,9.6614493971427e-06,0.00132526254924265,0.000244037120653519,-0.000224985366477557,0.000521075081081967,0.00081199206023172,-0.00154876164398315,9.53782265820437e-05
"Cro",-0.00346440592279422,0.000706674198044853,0.00203548412377905,-0.000771623228907496,0.000178995272848975,-0.000152246829362731,0.00183574969501604,0.00118907896540915,-0.00106249251360119,-0.000774092834750574,-0.00265444302749593,-0.00106660167774727,0.000401765936442058,-0.000594253018416336,0.00271325104395544,-0.00100496197498771,-0.00113350292306201,8.66103871886171e-05,-0.000986404059879226,0.00354771157802057,0.0018220618818504,-0.000461283453393846,-0.000360520126876954,-0.000152562576142144,0.00107594348094451,-0.00111738013818775,0.00139721123362902,-0.000278589734130444,-0.000316607368830835,-0.000222395317948325,-0.000458021351113298,0.000130612891473577,0.000475466512835858,0.00125344160029853,0.00153971028535025,-0.000726697902977907
"Eye",-0.00329440755683354,0.00287342322969119,0.0014637832848499,0.00287921188640537,0.000557087051220226,-0.000836494662809754,0.00184223623794082,-0.00215590473030309,0.00402449978485996,0.001974528245032,0.000594601167193095,-0.000243465865867424,-0.000132053869085718,-0.000609046339104873,-0.000381943804583785,-0.00011713632724633,-0.000107645427719312,-0.000625977197483264,-0.000455945829558147,-1.41537449742302e-05,0.000193885722557227,8.12943391728332e-05,-0.000783774206711138,0.00110253194580066,-0.000831070547625316,-0.000546207052001642,0.000151912778029802,-0.000219485020631073,0.000248553612032298,-0.00148419595732207,-0.00143541377465965,0.000825274487953952,0.000216691495112478,-0.000629398057767651,0.00219954243315893,0.00133972134309397
"Flo",-0.00838450757247426,-0.00201556324441072,0.000379207067784348,0.00240427583303741,-0.00117946265961471,-0.00104705312693297,-0.00214779120252679,0.00105126688348007,0.000505509457582799,0.000340030581906433,-0.000893751177210726,-0.00165737384091492,-0.00160209273735613,0.00217680125839623,-0.00129743407600279,0.000878548710760262,0.000209633725687351,-0.00131917772191782,-1.86538476535184e-05,0.000240369624507108,0.000105977818005314,-0.0012159942018849,-0.000277934809509674,-0.00135378190386606,0.00299623787625034,-0.00053830498468703,-0.00137644159071772,-0.00147975183244926,-0.00134059607090613,5.36107443751904e-05,-0.000111839568545275,-0.000871995272664817,0.000630917177930171,-0.000926118500929961,0.000398533570716651,-0.000451391017942998
"Gul",-0.00403981465762262,-0.00309458118063025,-0.00056813599211895,0.00107966177308738,-0.00154386603156757,0.000335785820776802,0.00048971730259588,0.000788213963316017,0.000945721437415492,0.000882224838546164,-0.00286259789333177,-0.000578681989683286,0.000674428501960299,-0.000988578988579131,-0.000189242544697788,-0.00211194566394036,3.8650872406633e-05,-0.00070848839361976,-0.000328188532738269,-0.00240121947239097,-0.000188606220356628,0.00145933075215279,-0.000819419819558509,-0.00154139761923826,-0.000579017375539159,0.000411062732539469,0.00232888383217714,-0.000690340177117391,0.00200803761420798,-0.00178667175028641,0.000826574570678202,0.000695252200751891,-0.000717425903496623,-8.66951812571175e-05,-0.00187334734291155,-0.000849875012986188
"Heb",-0.00131118872746901,0.000690060970198194,-5.24726342809101e-05,-0.000491363806668169,0.00260775820381252,-0.00139058202305679,-0.000594696445973901,-0.000365685456108379,-0.000607147029392317,-0.00133167468710878,-0.000873739304468332,-0.00169871390438467,-0.000250370375591812,-0.00103663714677373,0.000910682444925368,0.000214759927340091,0.00299692821576711,-0.00177121346619759,0.000302065793656577,-0.00156133830373952,-0.000289258781419041,0.000436858638435369,-0.00101058871242047,0.00279940377503188,0.00118581598949092,0.000584381319760843,0.000255354605340619,-0.000377778292944936,0.00225429593557743,0.0018867146267649,-0.000666204140320123,-0.000418432886960233,0.00170950778755802,-0.000695275551716674,-9.26647091773798e-05,-0.000319421887037179
"Hel",-0.00505523905721288,-0.0016867499012243,-0.000149557911242828,-7.28936753363733e-05,-0.000662250077997688,-0.000974271914788533,-0.00067457985333598,0.000574510559765294,0.00036116709478909,0.00151045896193411,0.00256034506283418,-0.0015529189432739,0.00127705908203929,-0.00202683214034757,-0.00130675908018199,-0.00202375598582696,0.000491533757827836,0.00060737526145735,-0.00140380835649003,0.000576289510945808,0.00271969356539176,0.000488081762005399,0.00357228185368597,0.00164602088301369,0.000186491483214064,0.000524213706989068,-0.000102615252238648,0.000524150835966316,-0.00057694738087917,0.000561770592578379,0.000122618681836884,-0.000659891151718145,0.000439440278873816,0.000363008226227064,-0.000828436151746298,-0.000631106618187307
