"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29"
"Ber",-0.119761107900754,-0.0143171522875603,0.00862294250814272,0.00528469007557359,0.00385545834581078,-0.0124843399191323,0.00954040562495347,0.00643397846761332,-0.00605173635743399,0.00336374765002558,0.000390063097813893,0.00294941840411744,-0.00179863172651219,0.00364167215641534,0.00971651514953955,0.00441067887867309,-0.00315345513280582,-0.00844418456524138,0.00498043996073258,-0.00106240342174808,-0.00196004041050674,0.00555041308728583,-0.0167378597226888,-0.00106734976501265,0.0138397268174743,-0.00728772932339315,-0.00448365512323937,-0.00217340359617172,-0.00444265869833622
"Brd",-0.0283213937662669,-0.0149755008224771,0.00355406751955251,0.00119831928425747,-0.00665372999524904,0.00217422451398127,-0.00524357943860248,-0.00724473205695098,-0.00583703798207953,0.00283916605164325,0.0004045035712573,-0.0128250664293254,-0.0047544437888452,-0.00804446885528016,-0.00688925142101967,0.00597553532073149,-0.0117523779745034,0.00386284763712821,-0.00830179184788756,-0.0125457676930334,0.00650992706698945,-0.00705434312726346,-0.00191690517666348,0.006753359454177,0.00278855094938484,-0.00427095300823898,0.00127856855168085,0.00870935187163323,-0.00220925369729234
"Cor",0.0946611068779386,8.9935850900655e-05,0.000921707994004501,-0.00524493291855307,0.00283876618911452,-0.0148797856393698,-0.011100584366437,0.0124564977119257,0.00258199723997228,-0.00437597469888805,0.00127022090722644,0.00543815989115819,-0.00323606248877556,0.00179186885094175,-0.0184792533899798,-0.00269806293676008,-0.000742400432138391,-0.00703781104019266,-0.00209848458230154,-0.00573492220880363,-0.0106432141792579,-0.013799029047776,0.00453783835378401,0.00426659992616975,0.0041458641477552,-0.00799275314797843,0.000167005852180837,-0.00309254493413311,0.000920532579617073
"Cro",-0.0277120731147194,-0.0134476189907027,0.00685227174139887,-0.0127433431824313,0.00313138630888381,0.00483681797310175,0.000879487812898836,0.0023281547810514,0.00521225722601222,-0.00139164432697988,-0.00260468744824579,0.00911435631398732,0.00360281101663305,0.0105633866485672,0.00628218060851993,-0.00556003303448387,0.00242506185415551,0.00493871007591895,0.00238737085151612,0.0151758032563538,-0.00894606601341588,-0.00139000460351016,0.0112949560337801,0.00634068685958906,0.00455723308456446,-0.0043850021227826,0.00256065428226778,0.0092920601175269,-0.0023561805066622
"Eye",-0.0616998579879398,0.0102392008336574,0.00481473808785299,6.73755092501693e-06,0.00146415622603077,-0.00552317477993027,-0.000234141133084494,-0.0157581844634219,-0.00221063888206179,-0.00463429003379159,4.57325611935354e-05,-0.00318223372405889,6.64390085247319e-05,0.000562184717692726,-0.0141320290734282,0.00459153767131387,0.00756038579693025,-0.0121408023140078,0.0024058822795888,0.00639267446042968,-0.00712265671197956,0.00846883164159079,0.000891466734327753,-0.00858017835808557,-0.0106097006577784,-0.00240191620434823,-0.00784892489958373,-0.00345395325129458,-0.00287811254651726
"Flo",-0.182152337749236,-0.00396401336801817,-0.0245905808729396,0.0017210107649006,-0.0167092557892688,0.00130885783375161,0.00270980704703252,-0.00707075254744115,-0.00209844950970692,-0.0014194134971923,0.000103839021187218,0.00178804069884336,0.000770864274866138,0.00241485503976458,-0.00219199755023631,0.00389226234618009,-0.000755197013517951,-0.00643320041682989,0.00173347473676784,0.00213035964420592,-0.00378288864180913,-0.00183805042950635,0.00607515225464532,-0.012282330749056,0.00754680139651549,-0.00353373628896172,0.00156410970639298,0.00905977929055782,0.00532940004199912
"Gul",-0.14091315703821,0.00717944619519397,0.00378625861729353,-0.0198410343665277,0.00306922969003389,0.00243426445556992,-0.00610540086961852,0.00178107758319349,-0.0115411382189629,0.00546307639337735,0.00112158426582549,0.00226061873770317,-0.00337493047426896,0.00268499253084107,0.00910322443066129,0.0100324920955752,-0.00945479331200601,-0.0127983305447184,0.000250425068907159,-0.0025466344409355,0.000742461278686584,-0.00358990391753241,0.00970093801316694,0.00584758243584763,-0.00401552989344538,0.0141391635547632,-0.0013945035636456,-0.00401959311859298,-0.000657112357708912
"Heb",0.108552925818341,-0.024301383885118,-0.0209551771758352,0.0101134570914515,0.00169000304255942,0.00327913654664102,-0.0079215861498483,-0.00106528817409239,-0.00245070906074812,0.00541573714884151,-0.000658633719489229,-0.000814385963691989,-0.00694585087378572,-0.00078828495861249,-0.00181208678815321,-0.00840051511361146,-0.00448311986511166,0.00150348348740455,-0.00130626870671598,-0.00072101702645766,-0.00378532648450425,0.0160368341905464,0.0118926218561047,-0.00156018331991029,0.000372812976735175,0.00356223840039204,6.51222647321509e-05,-0.00446174889241446,-0.00638929459343039
"Hel",-0.135589597905837,-0.00711603945368143,0.00651397915042122,-0.00832957018660759,-0.000121229551053224,0.0121298957531383,-0.00129987884482299,0.00111007417597278,0.0128141185180504,-0.00687371717902443,0.00178752910936942,-0.00903515361425604,2.59785592811767e-05,-0.00909285671091203,-0.000642338882775683,-0.00495571882955012,0.0223578082079823,-0.00381308596697088,-0.000320368802636491,-0.00791479174991882,0.00453507702287267,-0.00209283579483751,0.00161626812813352,0.00149098528040909,0.0108073960668742,0.00428651364420552,-0.00301063685485023,-0.00354895268259955,-0.00232031830133169
"Hoo",0.0371498524273078,-0.00344326413489027,-0.0208427729767524,0.00859788275021755,-0.00120673401470127,0.00332098783102843,0.00148537882703874,0.00807661454101041,0.00684023023040229,-0.000735444496389431,0.000415209126335414,-0.00427313150349504,0.0125604189302448,-0.000646144513160875,-0.00735968089484439,0.000678782152941605,-0.00736162433148957,-0.0112231611907146,0.00390367152053935,0.0164874969854857,0.0126253648295028,-0.00716202824162453,-0.00634011814766722,0.0045651305793987,0.00276413078800544,0.00789568463103533,0.00325414561465932,-0.00499622993352124,-9.10028033354608e-05
