"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29","PCo30","PCo31","PCo32","PCo33","PCo34","PCo35","PCo36"
"Ale",0.545811005999229,0.0886582033779022,1.7100255713271e-05,0.00793183856085112,-0.013499436670283,-0.0044553030758215,0.000844639252148957,0.0148029889264078,-0.0031282315471764,0.0101645100953484,0.00832627622761232,0.00161786502093554,-0.000418108839788061,-0.000300496504045277,-0.00113415671287854,-0.00104867358210834,0.000127279402077127,-0.00387358343144755,0.00484130162719656,-0.0060402113363686,-0.00651655498242672,-0.0050229637788867,-0.0143120565338233,0.00941783047162633,-0.00242795694868753,0.0126169310419324,0.00230863786329718,0.00280831620965953,0.0102288886646329,-0.00401529723036313,0.00468851701874641,0.00791662076326028,-8.53626718700607e-05,0.016500082439928,0.00887694358407793,0.00900937811011173
"Ber",-0.180436719399801,0.132274485255877,-0.0118582118330817,0.00127839840705697,0.008313883984848,0.00774888730850895,-0.0137118313359149,-0.0176283624806583,0.00627070792807509,0.0183890761988663,-0.00100565610119128,0.000628215721915782,-0.00491448055988237,-0.00191922335945406,-0.00607982662391799,-0.000273963311130458,0.00254377409862442,0.0204654212696877,-0.0014948036711885,-0.00261532492197703,0.00108493459804063,-0.00233802560354009,-0.00674417668220237,0.00810948504722032,-0.0152827227533176,0.00318569527237988,0.0199466065043351,-0.00947160991989306,-0.00414519349526825,0.0207168793026674,0.0102108913226198,0.0034085976479245,-0.00282423785572492,0.00692199067323261,-0.00153169567029273,-0.00339945933690693
"Brd",-0.197755434881325,0.0308457310787818,-0.00516640961114067,0.00608126724155438,0.00490907222171599,0.00780828569665307,0.0119619861200717,-0.00143376747907286,-0.0104849982299762,0.00258562371848314,0.00174602111791013,-0.00566459632561208,-0.00734565396425464,0.00515764519689605,-0.00336539771418314,0.00625560058844759,-0.0162601177665685,-0.00834102395281922,0.0135534296878545,0.0265489114347053,-0.00694031520907475,-0.000926602770322885,0.01542052350031,0.00386854399755852,0.00261297770952371,0.0124300581536732,0.00219925194127876,0.00179030283581036,-0.00999552736761088,0.00312237853856874,0.00442503527500347,-0.00545859571806996,0.0100804602714147,0.00926324571192877,-0.0107122934703188,0.00259199197030618
"Cor",-0.149063736590293,-0.103975049782115,0.00829663995994785,0.000169763262811092,-0.0121993101257468,0.0074437748917824,-0.0122846313396575,-0.00325314272237994,0.00369543309732219,0.00167568452984609,0.0196427866308002,-0.00777366888655132,-0.00870493740553775,-0.000795770632274459,0.0113351273605987,0.019902169155483,0.0165942985745598,-0.00206874196572167,-0.00232018582201192,0.0049223558050599,-0.00546961310629915,0.00666684923175755,0.00293056816647877,0.024119468463902,0.0169569279666089,-0.00122320180316074,-0.0122845871517815,0.0045395024598823,-0.0107153750785006,0.00692222947379155,0.00843861060818372,-0.00270189971727451,-0.00249726131444881,-0.00458100804283047,0.00496407996479031,-0.00111931950223632
"Cro",-0.18174839200686,0.033151084521191,0.00636362971518432,0.00645855157582499,0.000355981013560731,0.0176071245464469,-0.00383307924512435,0.00210308841725267,0.00111074730622208,-0.0102900031072412,-0.00813807336570366,0.00681470496845541,0.00762682234486432,-0.00663201290779025,0.000549563803884559,-0.00499545259507264,0.0142534213037188,0.00131584053575823,-0.00474898740563821,-0.0128468185818275,0.0104586085908381,0.0116310332925283,-0.0241141522728394,-0.00639358916437209,0.0148499444235627,-0.0012005257499508,-0.00614877060134485,0.00794215240705473,-0.00864190322917323,0.00105572537852019,0.00444089513052144,-0.00664761709586378,0.0113331907915953,0.00942317448826067,-0.0104520464795777,0.00140084089979603
"Eye",-0.0943792965787105,0.0636805078686511,-0.00676809985691536,-0.0131837238931591,-0.0120043868927694,-0.00318734166305517,0.00744227135402266,-0.0135929141948584,-0.0171195825166121,-0.00137454139306453,-0.00264961895136635,-0.00835662786178279,0.00634493558306187,0.0031236518580402,0.00770772342403359,0.0112511665379876,0.00448689472667338,-0.00307335159871891,-0.0050263933566124,-0.00430653109898968,-0.00522356244026765,-0.0134291077114375,-0.0024926110401681,0.00548875080057717,-0.00766906784113494,-0.0259042908369093,-0.00188355777051371,-0.00458531116622431,0.0105365609412422,-0.0119180998562418,0.0105614618800186,0.0132943024184936,-0.000356452558416781,0.000625593857997117,-0.00702866692481436,-0.00434875142356504
"Flo",-0.119362118503492,0.191196126832015,-0.041879516863544,0.0187378806934164,0.00465003723499229,0.000490196185437946,0.0271110104615427,-0.000411094853868143,-0.00535506446239988,0.00193815169438599,-0.00255781933278533,0.00208670925043061,0.00338513698277947,-0.00074110621480722,0.00264793614954839,0.00118667971320406,0.00657906238989308,0.00647464682129779,0.00136137965522426,0.00101813890499414,-0.0026256083792419,-0.00335746492492117,-0.000791752544972576,0.000482032576387362,0.00790743082697439,-0.0117929109074093,-0.00671690344444459,-0.00794251207382921,0.0140670974389728,0.015384204645583,-0.000300019439407213,-0.0140328394049724,0.0129722974409714,-0.00774459503460058,0.00719867823172776,0.00349393679651652
"Gul",-0.0886004705180517,0.155191886207265,-0.00232898723978297,-0.00508928949474245,-0.00895621976681103,0.0157241896705856,-0.00396284631356356,0.00776185379004375,-0.010529140444552,0.00178641935602468,-0.0104874579933964,0.00134802545398896,-0.00805477180850749,-0.000792122791054904,0.000444090401177714,0.0022966671671553,0.00077547476643956,0.0314759006313176,0.00113697267275884,0.0143843527631907,-0.0036752660529944,-0.000742719780806252,0.00051210436742062,-0.00453899592585718,0.0120846284853701,0.0052145392993154,-0.00224979383356401,0.0144380419791096,0.00355329148572845,-0.0133088363441242,-0.0174403172633786,0.0112820639788615,-0.00324105299008523,-0.00158966154110123,0.00268821811893346,-0.00426216509529586
"Heb",-0.204161958961272,-0.115403096656135,0.00727410591661838,0.0391713742433292,0.0071768921104817,-0.0128477137634286,0.00817554933746469,0.00248588510115503,-0.00422188755631673,0.00541234730883149,0.0122642982380054,0.00724582636589673,-0.0118085253517006,-0.00367232727205459,-0.00116267004711394,0.00348709072608044,-0.0016480062980558,-0.00599488366551215,-0.00640752617625302,0.0112331562195653,-0.00240572762093454,0.0115295566544741,-0.0117128949077391,-0.0155993216209753,-0.00689504512777835,-0.0146709323548255,-0.00661427951113924,0.00690474046159901,0.00156957687922407,0.00256502043536378,-0.00280432283228163,0.00894929489475474,-0.0108678539909149,0.0100621304732093,-0.000514780453739529,-0.00433351782096205
"Hel",-0.136851670485428,0.150105827973511,-0.00563880222126828,0.000706716398811525,0.00514424905088956,0.0147854517281639,0.00314603970796968,0.000352124928087229,0.00774228185869907,-0.0213434522104924,0.00504992702839208,-0.0136037809780224,0.00490999152691405,0.00900400939129904,0.000789333576084916,0.00491044510733753,-0.0207536289384811,-0.0123028795890439,-0.0223533872315928,-0.0163608943048546,-0.0151866780344582,0.00180408344390905,0.00205670140120828,-0.0013774081471796,0.0039848474896967,0.0100240417059419,0.00354923852013394,0.00532555837681421,0.00447516293494926,0.00977643003757233,-0.00536208482773487,0.00730703281463998,-0.00330731309545071,0.00299947961501036,0.00188042638801791,-0.00376883922585967
