"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29"
"Brd",-1276448.0864678,966718.529214434,-477968.111473931,-842672.46978864,-157261.727571065,324314.239037684,-173694.351389998,-521546.02264298,-238303.975033456,-250229.666272642,-119449.988021596,-303252.233142683,338842.696513954,-5158.93246105546,-42697.8151364254,-4676.98614738126,-29309.1092894467,-43625.4400560033,8581.4632118432,57136.9024885276,-276362.989683799,512486.488660168,-48580.1811796706,-404354.18201431,56488.1571875898,-201365.512882365,-264401.0533058,-133201.3976447,15368.7174308438
"Cro",-757072.432864284,1285393.31875583,-674554.761117177,-427333.318368259,-35493.0088013958,10703.853006439,224843.555536174,574361.330739081,259108.072491801,-246922.148700098,-134556.499477498,-176731.650542965,-254658.54100673,-79203.6929133425,-556885.958724793,-142612.941705105,177591.539196445,281682.976005502,-181921.096688115,-138357.161574279,-76457.5893616647,-35949.4280027304,-145511.990178795,95370.4265638855,16991.164848897,321296.65819398,426307.722422923,-81637.0673751117,88014.2205636461
"Eye",-1723971.13206822,29413.3577274538,-135724.883448637,-731993.740047031,-452872.589106845,1084757.91016271,82399.7892869883,20889.5012056148,24080.8116220505,82128.6784141794,312321.581451071,451606.862395608,-230164.446903081,104570.962429605,196491.188146919,42507.7369279578,-23286.2747283313,-30826.789968007,-64007.8636926342,113708.767882284,200271.863192292,-358250.819569375,95967.2932139985,238224.946521503,-29863.4670893713,-77825.4566705379,94696.7711653808,68349.0339033385,-92601.1848372632
"Heb",-285036.461183729,-1540376.0786032,374991.085547381,-600155.460456291,504993.250762862,-138817.680187927,-476878.45460472,150702.395725329,367476.82087172,-345157.520515797,-35013.542023528,119735.014211465,-47640.8322483984,302374.58190668,-13764.9862158129,38295.7012153189,5093.6881908275,2033.19570710642,-2255.05043979611,-57077.7843127816,303112.853982527,142983.074397952,19631.1549678311,-89930.2789899436,-389689.638054967,-312618.599340344,23899.0443781665,433492.989277997,94567.3002157874
"Iom",1705233.19471082,-1250773.353251,277042.54566511,467961.650116282,612352.099654129,591278.084161065,335272.387628692,-389625.931841948,137588.397784805,-187284.667217569,37458.0863360187,-149575.236103416,237173.961361531,-79043.9756003274,57223.9107922978,-48160.5593968594,27831.4240899521,40233.9799433094,15312.3607838764,-75077.9168370295,38498.9946117478,-236083.720792378,-642619.664582504,359771.238886841,-186692.569181932,-101864.879958873,-72199.7880496917,-205436.68222998,70300.1496662576
"Ios",2767276.59272617,428100.315434924,119795.500415119,-121016.280560401,204694.548906073,-293958.954598176,249176.121667085,-81560.1563480657,-409780.756036134,-151057.019684093,-259925.625371129,602432.317484556,-14517.0740696945,82838.5711416583,136586.184955832,-109826.938916983,164198.967785284,228671.714176783,75098.7409784903,-529471.580562659,-275546.505529759,-122036.309234842,-121989.676153792,-214431.325134394,163918.718436444,-483218.815392119,376192.209230674,-152611.532853261,-47174.8932391713
"Loo",2320261.8528844,894924.973719397,186036.850839247,90405.2838428208,217587.603170467,20136.498671655,-152700.024456874,102611.47706077,-53168.4944957627,-74332.7719025154,956731.964861693,281972.027188481,442309.304607535,-291979.529819916,-223748.403611626,25748.043073517,82602.5761764849,129832.071164725,-224167.456751677,-27357.7585656614,297387.335400492,292104.130125485,42940.3306718166,-191439.304298117,-33538.3635009481,192958.452314662,12624.8172160127,-256314.248697101,-2610.63344106757
"Lyn",2239570.55359177,-932056.702911946,-173459.306057204,407994.594060425,529863.66419719,292726.257388288,346488.109795811,87753.1000229789,452708.148362445,248934.745300779,90371.577398424,268220.514949749,-596247.242085634,-81399.9296556416,-51935.1081082506,-50228.5124747441,-35438.3882861247,-51097.1197691396,125303.180761836,42743.778879411,-258195.751332562,406698.291975766,523411.592482784,-304210.360040051,34723.8779733608,-105395.186742728,-185660.666796832,-92194.6994141664,4533.98316213751
"Ork",-1625957.33130295,-1229771.98655056,-141187.556528344,-275578.350114731,-45401.8825668927,-55707.9389350891,459675.122718034,-63967.9213142693,-178919.368118678,94496.9410183366,-41783.1179752779,-62470.3622894897,-74333.9775253931,251243.404428114,-460541.726261643,383936.371506462,-213955.500364454,-377699.16552446,608458.067618179,-380501.770137661,370272.88181774,39047.7401409074,-50853.6550565772,37229.3297451649,264493.437505083,190106.249297299,-175232.727290516,-137073.81008034,23113.4944381007
"Pad",2697811.56680805,125488.683974633,-197689.639026482,-8334.37648970274,415461.201722576,-281347.212909556,220275.561752672,-131068.061936002,-196096.280605359,-315581.786733363,-163927.120129028,-84121.7351603116,26869.8831021579,-23640.4065251875,-245695.271099392,221615.501505805,-256633.338154473,-353721.509218981,-210496.144544119,889664.675206308,139503.370382295,-50815.113691935,182969.312413083,192192.230726926,141524.818486384,-212207.470486073,340741.778971683,-35123.7286863338,-60685.8831433633
