"","Brd","Cro","Eye","Heb","Iom","Ios","Loo","Lyn","Ork","Pad","Pem","She","Sbs","Sul","Jer","Idr","Hel","Ale","Sky","The","Tor","Cor","Hoo","Kil","Mul","Ven","Laz","Tar","Sar","Oos","Ber","Flo","Sin","Tro","Vig","Gul","Kav","Lys"
"Brd",0,154.036815932887,243.169910897079,831.229847315537,1218.65592620212,949.09496299396,811.12059781473,1241.89731112651,578.737218344685,984.626509727434,1107.34524320368,691.578280015382,497.266432196734,743.090134965667,708.917528037746,1283.28811633002,517.387422481671,5765.04023876993,5521.78250997085,5734.58294173461,5688.23380294529,1176.83914490098,1151.59108410694,1364.0609255093,1254.38005477483,1324.07653729219,4324.08653459341,4257.03189074877,4034.16864109506,373.640433512518,790.019132266439,733.033745850286,882.687265615124,1223.73340506233,1663.71467821598,850.873665487651,856.365467840704,854.990924485811
"Cro",0,0,396.903224111457,977.529429719129,1219.61293447456,795.081493499317,657.107128320087,1087.88384163186,724.617976424608,830.613040232791,953.331773709035,831.261222409603,343.252962702092,889.389717369259,554.904058543104,1129.27464683538,473.663857868574,5611.02676927529,5367.76904047622,5580.56947223998,5534.22033345066,1022.82567540633,997.577614612294,1308.7310044482,1400.67963717843,1170.06306779755,4170.07306509877,4103.01842125413,3880.15517160042,222.520072324012,893.324227302967,772.579323535505,920.305933435686,1333.84952479309,1509.70120872134,869.202335441255,876.708905820482,874.012602487719
"Eye",0,0,0,612.960856480884,1000.38693536747,1191.90299870764,1053.92863352841,1117.01481492105,360.468227510032,1227.43454544112,1235.85957231299,482.578017385521,740.074467910416,524.821144131012,951.725563751428,1526.0961520437,686.814194231846,6007.84827448359,5764.59054568451,5977.39097744828,5931.04183865895,1341.54326525756,1242.82926703206,1145.79193467465,1036.11106394018,1269.15607222604,4566.89457030708,4499.83992646245,4276.97667680874,611.448852294352,668.883495916022,745.670739926701,901.426046283036,1086.33082670938,1906.52271392966,885.519498081042,890.788488996106,889.525374450789
"Heb",0,0,0,0,451.727953840608,905.458170352066,991.130646031621,568.067313553692,310.885394716363,824.596646184652,686.912070945634,436.919199655579,1299.40809188508,158.463396686949,1166.97831389379,1463.14073930407,1120.82025629227,5858.56207830479,5615.30434950572,5828.10478126948,5781.75564248016,792.595763890207,693.8817656647,552.211306878419,442.251489431691,675.575444429809,4417.60837412828,4350.55373028365,4127.69048062994,1179.99001347933,792.808429329922,1013.33959518797,1169.09490154431,1134.49833609336,1764.52992580197,1153.18835334232,1158.45734425737,1157.19422971206
"Iom",0,0,0,0,0,490.203787004519,575.365563147125,132.301545132513,698.311473602947,402.004266375403,266.517059763161,824.492139549619,883.643009000588,594.629978373088,751.213231009292,1047.37565641957,1508.24633517885,5462.82695586589,5219.56922706681,5432.36965883058,5386.02052004126,389.697995796279,290.983997570772,582.239583874946,474.971510732456,595.705320239858,4021.87325168937,3954.81860784473,3731.95535819101,1187.83100738809,1180.23450821651,1400.76567407456,1556.5209804309,1521.92441497994,1361.93242625388,1540.61443222891,1545.88342314396,1544.62030859864
"Ios",0,0,0,0,0,0,150.834122171879,358.791549544148,1152.3302099549,119.325069052644,224.264890435851,1278.51087590157,459.111568025339,1048.64871472504,324.384417561935,583.956781082301,1147.88889052359,4974.79579061025,4731.53806181117,4944.33849357494,4897.98935478561,255.91925918831,252.188168435491,523.211515037641,619.638565958431,384.543578386988,3533.84208643372,3466.78744258909,3243.92419293537,763.299566412837,1634.25324456846,1528.89232512997,1666.09357984177,1975.9431513319,873.739113076585,1608.29362206293,1616.20778911568,1613.23971707208
"Loo",0,0,0,0,0,0,0,443.636470304427,1238.00268563446,186.365668905353,309.084402381597,1364.18335158113,321.137202846111,1134.3211904046,213.120460436374,601.307688245306,1009.91452534437,5058.69416091764,4815.43643211857,5028.23686388233,4981.88772509301,378.578304078896,353.330243284856,664.483633120766,760.910684041556,525.815696470113,3617.74045674112,3550.68581289649,3327.82256324277,625.325201233608,1538.31556153522,1390.91795995074,1528.11921466254,1978.99320510231,957.368600363695,1470.3192568837,1478.23342393645,1475.26535189285
"Lyn",0,0,0,0,0,0,0,0,814.939353156529,270.008392462232,134.569589353888,941.1200191032,751.913916157888,711.25785792667,619.484138166592,915.646563576874,1440.69123865614,5333.06044846408,5089.802719665,5302.60315142876,5256.25401263944,284.156621790443,185.442623564936,628.831882884675,582.554124684184,490.163946234022,3892.10674428755,3825.05210044292,3602.1888507892,1056.10191454539,1296.86238777009,1517.39355362815,1673.14885998448,1638.55229453352,1232.0430408348,1657.2423117825,1662.51130269755,1661.24818815223
"Ork",0,0,0,0,0,0,0,0,0,1071.46868578749,933.784110548471,154.971477479391,1067.04584711397,196.290173343872,1278.69694295499,1710.01277890691,851.247737365302,6123.04774180723,5879.79001300815,6092.59044477191,6046.24130598259,1039.46780349304,940.753805267536,843.716472910131,734.035602175659,967.080610461521,4682.09403763073,4615.0393937861,4392.17614413239,924.903361251261,488.380713555022,726.770017699868,882.525324056203,835.949158989615,2022.29591590961,866.618775854208,871.887766769273,870.624652223955
"Pad",0,0,0,0,0,0,0,0,0,0,137.833950031254,1197.64935173416,494.643114758813,967.787190557628,362.213336767519,658.3757621778,1183.42043725707,5078.06873435203,4834.81100555295,5047.61143731672,5001.26229852739,263.241840249226,213.131658211334,581.195621474377,677.622672395167,442.527684823723,3637.11503017551,3570.06038633087,3347.19713667715,798.831113146311,1553.39172040105,1564.42387186344,1701.62512657525,1895.08162716448,976.909137368408,1643.8251687964,1651.73933584915,1648.77126380555
