"","Ale","Ber","Brd","Cor","Cro","Eye","Flo","Gul","Heb","Hel","Hoo","Idr","Iom","Ios","Jer","Kav","Kil","Laz","Loo","Lyn","Lys","Mul","Oos","Ork","Pad","Pem","Sar","Sbs","She","Sin","Sky","Sul","Tar","The","Tor","Tro","Ven","Vig"
"Ale",0,0.0716,0.0753,0.0584,0.0776,0.0839,0.0918,0.0683,0.0705,0.0789,0.0712,0.0632,0.0506,0.0644,0.0691,0.0683,0.0739,0.081,0.068,0.0587,0.0825,0.0678,0.1228,0.0736,0.075,0.068,0.0515,0.0685,0.0634,0.0865,0.0014,0.0769,0.0715,0.002,0.004,0.0746,0.077,0.0546
"Ber",0.0716,0,0.0032,0.0061,0.0051,0.0149,0,0,0.0052,0.0035,0.0026,0.014,0.0069,0.0058,0.0045,7e-04,0.0111,0.1007,0.0084,0.0069,0,0.0066,0.0406,0.007,0.0091,0.0025,0.0908,0.0017,0.0025,4e-04,0.0768,0.0032,0.096,0.0732,0.0725,0,0.0034,0.0274
"Brd",0.0753,0.0032,0,2e-04,0.0036,0.0183,0.0018,0.0027,0.004,0.0019,0,0.0075,0.0106,0.0061,0.0016,0.0013,0.0027,0.0877,0.0047,0.0023,0.0039,0.0044,0.0466,0.0027,0.0033,0.0021,0.086,7e-04,0,0.0069,0.0768,0.0011,0.0838,0.0769,0.0768,0.0015,0.0032,0.0161
"Cor",0.0584,0.0061,2e-04,0,0.003,0.0066,0.0067,0.0015,0,0.0048,0,0,0.0021,0.0017,0,0.0022,0,0.0542,4e-04,0,0.0057,0,0.0354,0,0,0,0.058,0,0,0.0107,0.0602,0,0.056,0.0626,0.0619,6e-04,0,0.0034
"Cro",0.0776,0.0051,0.0036,0.003,0,0.0121,0.0056,0.0023,0,0.0057,0,0.0041,0.0043,0.0046,0,0,0.0046,0.0806,0.0054,0.0034,0.0061,0,0.035,5e-04,0.0053,0.0041,0.0879,0,0.0022,0.0049,0.0816,0,0.0787,0.0796,0.077,0,0,0.0195
"Eye",0.0839,0.0149,0.0183,0.0066,0.0121,0,0.0173,0.0165,0.0115,0.0158,0.0095,0.0158,0.0128,0.0131,0.0103,0.013,0.0128,0.0795,0.0175,0.0164,0.0156,0.0136,0.0498,0.0138,0.0179,0.0093,0.0796,0.0106,0.0144,0.0205,0.0898,0.0084,0.0685,0.089,0.0861,0.0105,0.0102,0.0265
"Flo",0.0918,0,0.0018,0.0067,0.0056,0.0173,0,0,0.0069,0,0.0014,0.0149,0.0126,0.011,0.0053,2e-04,0.0064,0.1194,0.0113,0.0105,0,0.0066,0.0422,0.0071,0.0065,0.0048,0.104,0.0036,0.004,0,0.0942,0,0.1108,0.0906,0.0905,0,0.0051,0.029
"Gul",0.0683,0,0.0027,0.0015,0.0023,0.0165,0,0,0.0035,0,0,0.0091,0.0043,0.0056,0.0021,5e-04,0.0077,0.1038,0.009,0.005,0,0.0053,0.0465,0.0031,0.0037,0.0025,0.0883,0.0037,0.0022,0.003,0.0743,0.001,0.098,0.0708,0.0708,0,0.0039,0.0233
"Heb",0.0705,0.0052,0.004,0,0,0.0115,0.0069,0.0035,0,0.0035,0,4e-04,0.0014,0,5e-04,0.0014,0.0013,0.0726,0.0036,5e-04,0.005,0.0027,0.032,0.0044,0.0028,0.001,0.0714,0,0,0.0054,0.0706,0,0.064,0.0696,0.0682,7e-04,0,0.0086
"Hel",0.0789,0.0035,0.0019,0.0048,0.0057,0.0158,0,0,0.0035,0,0.0017,0.0128,0.0092,0.0087,0.0044,4e-04,0.0074,0.1015,0.0084,0.006,6e-04,0.0072,0.0376,0.006,0.0091,0.0023,0.0912,0.0037,0.0021,0.0033,0.0807,0,0.0976,0.0791,0.0783,0,0.0016,0.0227
