"","Ale","Ber","Brd","Cor","Cro","Eye","Flo","Gul","Heb","Hel","Hoo","Idr","Iom","Ios","Jer","Kav","Kil","Laz","Loo","Lyn","Lys","Mul","Oos","Ork","Pad","Pem","Sar","Sbs","She","Sin","Sky","Sul","Tar","The","Tor","Tro","Ven","Vig"
"Ale",0,0.4952,0.5112,0.524,0.4985,0.4297,0.47,0.4311,0.5611,0.4673,0.4799,0.5074,0.4753,0.4041,0.5157,0.4361,0.5522,0.2522,0.4842,0.5168,0.4755,0.5154,0.507,0.5758,0.5425,0.5327,0.2567,0.5323,0.5587,0.4247,0.0465,0.5363,0.2283,0,0.0539,0.4488,0.569,0.4864
"Ber",0.4952,0,0.0621,0.2729,0.0668,0.0124,0.0285,0.0079,0.2988,0,0.2008,0.2876,0.2312,0.2234,0.1747,0.0059,0.2725,0.699,0.1928,0.2223,0,0.2398,0.0413,0.198,0.2276,0.2518,0.7039,0.1931,0.2513,0.0272,0.5942,0.2075,0.7158,0.5442,0.5909,0,0.2832,0.3796
"Brd",0.5112,0.0621,0,0.1102,0,0.0294,0.1474,0.107,0.1302,0.0854,0.0749,0.1445,0.0967,0.1033,0.0372,0.113,0.1027,0.6625,0.0769,0.0714,0.113,0.0836,0.1309,0.0367,0.0658,0.0871,0.6806,0.049,0.0875,0.1332,0.5988,0.0557,0.6791,0.5569,0.5985,0.0439,0.1044,0.2466
"Cor",0.524,0.2729,0.1102,0,0.1088,0.1666,0.3573,0.3012,0.0373,0.2958,0.0407,0,0.0222,0.0203,0.0207,0.3047,0,0.6113,0.012,0,0.323,0,0.3132,0.0288,0,0.002,0.6417,0.0198,0,0.3109,0.6026,0.0031,0.629,0.5669,0.6097,0.2276,0,0.0601
"Cro",0.4985,0.0668,0,0.1088,0,0.0293,0.158,0.0994,0.1418,0.083,0.0849,0.1477,0.0996,0.0916,0.0483,0.1145,0.1021,0.6564,0.081,0.0703,0.1124,0.0853,0.1402,0.0429,0.0671,0.0895,0.6747,0.0447,0.0856,0.1372,0.5831,0.0548,0.6726,0.5424,0.5816,0.0483,0.1004,0.2463
"Eye",0.4297,0.0124,0.0294,0.1666,0.0293,0,0.0699,0.0227,0.2121,0.0208,0.1302,0.1917,0.1486,0.1363,0.0991,0.0258,0.1663,0.5961,0.0934,0.1206,0.0262,0.138,0.0376,0.1172,0.1343,0.1618,0.6275,0.1116,0.1487,0.0432,0.5256,0.1169,0.6175,0.4822,0.525,0,0.1785,0.2644
"Flo",0.47,0.0285,0.1474,0.3573,0.158,0.0699,0,0.0232,0.3594,0.0199,0.2537,0.3599,0.2883,0.2838,0.2521,0.005,0.3654,0.6894,0.2774,0.3112,0.0191,0.3242,0.0738,0.303,0.3227,0.3287,0.6908,0.2907,0.3494,0.0109,0.5822,0.3001,0.7029,0.5235,0.5771,0.0239,0.3745,0.4425
"Gul",0.4311,0.0079,0.107,0.3012,0.0994,0.0227,0.0232,0,0.3348,0,0.2348,0.3152,0.2574,0.2332,0.2177,0,0.3052,0.6532,0.2217,0.2504,0,0.2685,0.0463,0.2497,0.267,0.2861,0.664,0.2327,0.2875,0.0154,0.5307,0.2449,0.6699,0.4819,0.5246,0,0.3153,0.3892
"Heb",0.5611,0.2988,0.1302,0.0373,0.1418,0.2121,0.3594,0.3348,0,0.3228,0.0038,0.0517,0.0037,0.0489,0.0212,0.3277,0.0579,0.6621,0.0835,0.0546,0.3533,0.045,0.3443,0.0654,0.0455,0.0036,0.6768,0.0532,0.0583,0.3226,0.6474,0.0386,0.6715,0.6039,0.651,0.2614,0.0466,0.1517
"Hel",0.4673,0,0.0854,0.2958,0.083,0.0208,0.0199,0,0.3228,0,0.2232,0.3085,0.2518,0.234,0.2024,0,0.2969,0.6822,0.2177,0.243,0,0.2612,0.044,0.2304,0.254,0.2749,0.6876,0.2196,0.2779,0.0233,0.5648,0.2337,0.6986,0.5159,0.5591,0,0.3052,0.3929
