"","Tro","Ber","Flo","Gul","Kav","Lys","Sin","Hel","Oos","Cro","Brd","Eye","She","Ork","Sul","Heb","Sbs","Jer","Iom","Lyn","Pem","Loo","Pad","Ios","Mul","Kil","Ven","Cor","Hoo","Idr","Vig","Sar","Laz","Tar","Sky","The","Tor","Ale"
"Tro",0,0,0,0,0,0,7e-04,0,0.0339,0.0012,0.0042,0.0093,0.0134,0.0124,0.0062,0.0231,0.0073,0.008,0.0216,0.0167,0.0171,0.0108,0.0177,0.0168,0.0166,0.0187,0.0159,0.0203,0.0119,0.0291,0.0506,0.1767,0.1686,0.1703,0.1403,0.1289,0.1334,0.1195
"Ber",0,0,0.0012,0,0.001,0,0.0019,0.003,0.0407,0.0088,0.0067,0.0148,0.021,0.0193,0.0181,0.0291,0.0151,0.0169,0.0262,0.0233,0.0224,0.023,0.0253,0.0264,0.0254,0.0313,0.0248,0.0279,0.0188,0.0395,0.0639,0.1855,0.1833,0.1856,0.1367,0.1282,0.13,0.1196
"Flo",0,0.0012,0,0,4e-04,0,0,0,0.0439,0.0157,0.0112,0.0206,0.0334,0.0291,0.0246,0.0383,0.0264,0.0251,0.0379,0.0359,0.0335,0.0346,0.0332,0.0385,0.0351,0.0383,0.0373,0.0389,0.0234,0.0502,0.076,0.1911,0.196,0.1937,0.149,0.1388,0.1426,0.1321
"Gul",0,0,0,0,2e-04,0,0.0037,0,0.0465,0.0085,0.0094,0.0169,0.0254,0.021,0.0204,0.0331,0.0212,0.0193,0.0275,0.025,0.0271,0.027,0.0252,0.0279,0.028,0.033,0.0299,0.0281,0.02,0.0395,0.063,0.173,0.1771,0.1775,0.1234,0.1156,0.1173,0.1068
"Kav",0,0.001,4e-04,2e-04,0,0.001,0,4e-04,0.0342,0.0061,0.0086,0.0138,0.0267,0.0213,0.0191,0.0304,0.0183,0.0194,0.0292,0.0289,0.0267,0.0267,0.0308,0.0307,0.0285,0.0301,0.028,0.0292,0.02,0.0398,0.0622,0.1699,0.1615,0.1624,0.1232,0.1121,0.1145,0.1078
"Lys",0,0,0,0,0.001,0,0.0026,2e-04,0.0351,0.0126,0.0106,0.0162,0.0285,0.0245,0.0212,0.0353,0.019,0.0227,0.0353,0.0317,0.0302,0.0291,0.0267,0.0331,0.0346,0.0326,0.0326,0.0331,0.0239,0.046,0.0681,0.1871,0.1898,0.1884,0.1389,0.1325,0.1316,0.1243
"Sin",7e-04,0.0019,0,0.0037,0,0.0026,0,0.0045,0.031,0.014,0.0156,0.022,0.0341,0.0304,0.0274,0.0341,0.0226,0.0303,0.0345,0.0317,0.0326,0.0312,0.0358,0.0334,0.0337,0.0381,0.0314,0.0382,0.0232,0.0489,0.0734,0.1785,0.1834,0.1845,0.141,0.1331,0.1331,0.1227
"Hel",0,0.003,0,0,4e-04,2e-04,0.0045,0,0.0379,0.0105,0.0071,0.0161,0.0239,0.0216,0.0167,0.0311,0.0197,0.0196,0.0309,0.0248,0.0253,0.0257,0.0283,0.0305,0.0286,0.0313,0.0262,0.03,0.0206,0.0415,0.0626,0.1823,0.1822,0.1847,0.1348,0.1284,0.1296,0.1215
"Oos",0.0339,0.0407,0.0439,0.0465,0.0342,0.0351,0.031,0.0379,0,0.0415,0.0517,0.0491,0.0608,0.0565,0.054,0.0582,0.0541,0.0528,0.0616,0.0579,0.0587,0.06,0.0655,0.066,0.0565,0.0593,0.0558,0.0584,0.0532,0.071,0.0889,0.2109,0.2179,0.2245,0.1788,0.1715,0.1723,0.1642
"Cro",0.0012,0.0088,0.0157,0.0085,0.0061,0.0126,0.014,0.0105,0.0415,0,0.003,0.0132,0.0079,0.0031,0.0028,0.0097,0.0011,0.0028,0.012,0.0081,0.0104,0.0112,0.0096,0.0122,0.0044,0.0115,0.004,0.0109,0.003,0.0163,0.0408,0.1826,0.1679,0.1719,0.1445,0.1383,0.1382,0.1299
"Brd",0.0042,0.0067,0.0112,0.0094,0.0086,0.0106,0.0156,0.0071,0.0517,0.003,0,0.019,0.0046,0.0048,0.0049,0.0133,0.004,0.004,0.0175,0.0071,0.0083,0.0102,0.0076,0.0146,0.0103,0.0098,0.0101,0.0085,0.0056,0.019,0.0378,0.1831,0.1749,0.1777,0.1444,0.1393,0.1422,0.1305
