SNP,R2_tot,R2adj_tot,p_tot,R2_mar,R2adj_mar,p_mar
total,0.5098153,0.1830256,0.0001,0.0507863,-0.005517989,0.6045
X3441.G,0.4753628,0.1716255,0.0001,0.05185251,-0.004817801,0.5834
X4173.C,0.510685,0.1844751,0.0001,0.05138603,-0.004473445,0.576
X6157.G,0.3873387,0.1247696,0.0009,0.05845568,0.0001395443,0.4592
X7502.T,0.5114292,0.1857153,0.0003,0.05092302,-0.005043944,0.5829
X7892.T,0.5098982,0.1831637,0.0001,0.05071226,-0.005615242,0.5988
X9441.A,0.5114756,0.1857927,0.0002,0.05123115,-0.004574016,0.5725
X11071.G,0.5097972,0.1829954,0.0001,0.05023149,-0.00635323,0.6164
X11183.A,0.4755165,0.1718681,0.0003,0.05525171,6.130292E-05,0.4674
X12971.A,0.4379427,0.1569141,0.0006,0.05666046,0.0006200866,0.4563
X14047.T,0.5116677,0.1861128,0.0003,0.05133981,-0.004379007,0.5719
X14742.A,0.5105668,0.184278,0.0002,0.05060999,-0.005657221,0.6021
X15109.A,0.5115773,0.1859622,0.0002,0.0508835,-0.00507853,0.5794
X15128.C,0.5648325,0.1840609,0.0001,0.04806872,-0.01054536,0.6812
X15435.C,0.4743522,0.1700298,0.0001,0.05275691,-0.003677776,0.5587
X18512.T,0.5121631,0.1869384,0.0003,0.05015515,-0.006073432,0.6076
X18652.A,0.5117454,0.1862424,0.0002,0.0511164,-0.004701155,0.5749
X19266.C,0.5109461,0.1849101,0.0001,0.05114822,-0.004786659,0.5778
X19460.T,0.5113919,0.1856532,0.0002,0.04922753,-0.007593388,0.6503
X20354.T,0.5128327,0.1880545,0.0001,0.0495725,-0.006835807,0.6246
X23146.T,0.4737284,0.1690448,0.0002,0.05235025,-0.004352524,0.5754
X23447.T,0.4703774,0.1637538,0.0005,0.05313354,-0.003737444,0.562
X23481.T,0.5413243,0.1905724,0.0004,0.04752496,-0.0101635,0.6784
X23677.A,0.4733655,0.1684718,0.0003,0.05254868,-0.004123615,0.5595
X23787.G,0.4726072,0.1672745,0.0002,0.05294346,-0.003673683,0.5664
X24020.C,0.5087705,0.1812842,0.0001,0.05105806,-0.005284497,0.5815
X25229.C,0.5110028,0.1850047,0.0001,0.05038706,-0.005918941,0.6112
X25608.C,0.5121901,0.1869836,0.0003,0.05113014,-0.004606432,0.5753
X27329.T,0.510976,0.1849599,0.0001,0.05118147,-0.0047318,0.5766
X29410.T,0.5164118,0.1940197,0.0001,0.05132366,-0.003612533,0.5614
X29801.G,0.4720803,0.1664426,0.0003,0.0530992,-0.003530429,0.55
X29889.A,0.5080151,0.1800252,0.0002,0.05071214,-0.005929272,0.6074
X30339.A,0.5126392,0.187732,0.0003,0.05092904,-0.004833247,0.5755
X31462.A,0.4348304,0.1522456,0.0003,0.05688095,0.000496346,0.4505
X31618.A,0.4748416,0.1708025,0.0003,0.05230023,-0.004256582,0.5728
X31967.A,0.4727451,0.1674923,0.0002,0.0518511,-0.005213453,0.5999
X31979.G,0.4350116,0.1525174,0.0005,0.05484028,-0.002261675,0.5232
X32435.C,0.5105706,0.1842843,0.0001,0.05035204,-0.006043504,0.6081
X33784.G,0.5110154,0.1850256,0.0002,0.05123601,-0.004643417,0.5795
X34443.G,0.4367606,0.1551408,0.0004,0.05646504,0.0001923997,0.4526
X34818.A,0.5090071,0.1816784,0.0003,0.0505255,-0.00604391,0.6028
X35584.T,0.5383781,0.1853732,0.0002,0.04755462,-0.01066395,0.6893
X36910.A,0.4731309,0.1681015,0.0002,0.05293738,-0.003603601,0.5432
X39107.C,0.5099592,0.1832653,0.0001,0.05119284,-0.004884214,0.5836
X39876.C,0.4251618,0.1377427,0.0007,0.05759621,0.000153263,0.4568
X42529.A,0.5101543,0.1835904,0.0002,0.0508884,-0.005308355,0.5851
X42821.A,0.4727003,0.1674215,0.0002,0.05203816,-0.004952966,0.5968
X44670.T,0.5103022,0.183837,0.0002,0.04947825,-0.007398928,0.6425
X45154.G,0.5110781,0.1851301,0.0001,0.05119505,-0.004694419,0.5784
X45217.A,0.4746108,0.1704382,0.0003,0.05322548,-0.002969487,0.5476
X51159.T,0.4750304,0.1711006,0.0002,0.05273594,-0.00360574,0.5566
X53314.T,0.4723083,0.1668026,0.0002,0.04958591,-0.008515113,0.675
X53720.C,0.4718552,0.1660872,0.0004,0.05317433,-0.003456934,0.5547
X54240.A,0.5107713,0.1846189,0.0001,0.05123943,-0.004678973,0.5773
X54762.T,0.4354891,0.1532337,0.0006,0.05102302,-0.007401918,0.6523
X55111.C,0.5096454,0.1827423,0.0001,0.05110005,-0.005075693,0.5881
X55142.G,0.5067639,0.1779398,0.0001,0.05163729,-0.00475009,0.5968
X55564.A,0.5098623,0.1831038,0.0002,0.04930832,-0.007727141,0.6482
X56423.T,0.4794358,0.1780566,0.0002,0.04672938,-0.01152406,0.7536
X56785.T,0.5108418,0.1847363,0.0003,0.04872789,-0.008434537,0.666
X57131.G,0.5102619,0.1837698,0.0001,0.05037768,-0.0060565,0.6098
X57989.A,0.4731287,0.168098,0.0002,0.05338755,-0.002960832,0.5373
X59503.T,0.4715924,0.1656722,0.0004,0.05212855,-0.004990442,0.588
X59586.T,0.4711367,0.1649527,0.0003,0.05282781,-0.004060018,0.5653
X59967.C,0.5120724,0.1867874,0.0003,0.05116196,-0.004578324,0.5788
X60546.C,0.4350126,0.1525189,0.0004,0.05633966,-0.0002169264,0.4679
X63140.T,0.4363601,0.1545401,0.0001,0.056577,0.0002904557,0.4586
X63267.G,0.510778,0.18463,0.0001,0.05100219,-0.005033721,0.5879
X63581.C,0.4737584,0.1690922,0.0002,0.05325955,-0.003049,0.5422
X63605.C,0.5059203,0.1765339,0.0002,0.05141337,-0.00522655,0.5824
X63771.A,0.5110018,0.185003,0.0002,0.04839981,-0.008899984,0.6707
X63798.G,0.4337328,0.1505992,0.0005,0.05569823,-0.001266121,0.4922
